"id","system_name"
"odoo_community_module__account","account"
"odoo_community_module__account_accountant","account_accountant"
"odoo_community_module__account_analytic_analysis","account_analytic_analysis"
"odoo_community_module__account_analytic_default","account_analytic_default"
"odoo_community_module__account_analytic_default_hr_expense","account_analytic_default_hr_expense"
"odoo_community_module__account_analytic_default_purchase","account_analytic_default_purchase"
"odoo_community_module__account_analytic_plans","account_analytic_plans"
"odoo_community_module__account_anglo_saxon","account_anglo_saxon"
"odoo_community_module__account_asset","account_asset"
"odoo_community_module__account_bank_statement_extensions","account_bank_statement_extensions"
"odoo_community_module__account_bank_statement_import","account_bank_statement_import"
"odoo_community_module__account_budget","account_budget"
"odoo_community_module__account_cancel","account_cancel"
"odoo_community_module__account_cash_basis_base_account","account_cash_basis_base_account"
"odoo_community_module__account_chart","account_chart"
"odoo_community_module__account_check_printing","account_check_printing"
"odoo_community_module__account_check_writing","account_check_writing"
"odoo_community_module__account_debit_note","account_debit_note"
"odoo_community_module__account_edi","account_edi"
"odoo_community_module__account_edi_extended","account_edi_extended"
"odoo_community_module__account_edi_facturx","account_edi_facturx"
"odoo_community_module__account_edi_proxy_client","account_edi_proxy_client"
"odoo_community_module__account_edi_ubl","account_edi_ubl"
"odoo_community_module__account_extra_reports","account_extra_reports"
"odoo_community_module__account_facturx","account_facturx"
"odoo_community_module__account_fleet","account_fleet"
"odoo_community_module__account_followup","account_followup"
"odoo_community_module__account_full_reconcile","account_full_reconcile"
"odoo_community_module__account_invoicing","account_invoicing"
"odoo_community_module__account_lock","account_lock"
"odoo_community_module__account_payment","account_payment"
"odoo_community_module__account_qr_code_sepa","account_qr_code_sepa"
"odoo_community_module__account_sequence","account_sequence"
"odoo_community_module__account_tax_adjustments","account_tax_adjustments"
"odoo_community_module__account_tax_cash_basis","account_tax_cash_basis"
"odoo_community_module__account_tax_exigible","account_tax_exigible"
"odoo_community_module__account_tax_python","account_tax_python"
"odoo_community_module__account_test","account_test"
"odoo_community_module__account_voucher","account_voucher"
"odoo_community_module__adyen_platforms","adyen_platforms"
"odoo_community_module__analytic","analytic"
"odoo_community_module__analytic_contract_hr_expense","analytic_contract_hr_expense"
"odoo_community_module__analytic_user_function","analytic_user_function"
"odoo_community_module__anglo_saxon_dropshipping","anglo_saxon_dropshipping"
"odoo_community_module__anonymization","anonymization"
"odoo_community_module__association","association"
"odoo_community_module__attachment_indexation","attachment_indexation"
"odoo_community_module__auth_crypt","auth_crypt"
"odoo_community_module__auth_ldap","auth_ldap"
"odoo_community_module__auth_oauth","auth_oauth"
"odoo_community_module__auth_openid","auth_openid"
"odoo_community_module__auth_password_policy","auth_password_policy"
"odoo_community_module__auth_password_policy_portal","auth_password_policy_portal"
"odoo_community_module__auth_password_policy_signup","auth_password_policy_signup"
"odoo_community_module__auth_signup","auth_signup"
"odoo_community_module__auth_totp","auth_totp"
"odoo_community_module__auth_totp_portal","auth_totp_portal"
"odoo_community_module__barcodes","barcodes"
"odoo_community_module__base_action_rule","base_action_rule"
"odoo_community_module__base_address_city","base_address_city"
"odoo_community_module__base_address_extended","base_address_extended"
"odoo_community_module__base_automation","base_automation"
"odoo_community_module__base","base"
"odoo_community_module__base_gengo","base_gengo"
"odoo_community_module__base_geolocalize","base_geolocalize"
"odoo_community_module__base_iban","base_iban"
"odoo_community_module__base_import","base_import"
"odoo_community_module__base_import_module","base_import_module"
"odoo_community_module__base_report_designer","base_report_designer"
"odoo_community_module__base_setup","base_setup"
"odoo_community_module__base_sparse_field","base_sparse_field"
"odoo_community_module__base_vat_autocomplete","base_vat_autocomplete"
"odoo_community_module__base_vat","base_vat"
"odoo_community_module__board","board"
"odoo_community_module__bus","bus"
"odoo_community_module__calendar","calendar"
"odoo_community_module__calendar_sms","calendar_sms"
"odoo_community_module__claim_from_delivery","claim_from_delivery"
"odoo_community_module__contacts","contacts"
"odoo_community_module__coupon","coupon"
"odoo_community_module__crm_claim","crm_claim"
"odoo_community_module__crm","crm"
"odoo_community_module__crm_helpdesk","crm_helpdesk"
"odoo_community_module__crm_iap_lead","crm_iap_lead"
"odoo_community_module__crm_iap_lead_enrich","crm_iap_lead_enrich"
"odoo_community_module__crm_iap_lead_website","crm_iap_lead_website"
"odoo_community_module__crm_livechat","crm_livechat"
"odoo_community_module__crm_mass_mailing","crm_mass_mailing"
"odoo_community_module__crm_partner_assign","crm_partner_assign"
"odoo_community_module__crm_phone_validation","crm_phone_validation"
"odoo_community_module__crm_profiling","crm_profiling"
"odoo_community_module__crm_project","crm_project"
"odoo_community_module__crm_project_issue","crm_project_issue"
"odoo_community_module__crm_reveal","crm_reveal"
"odoo_community_module__crm_sms","crm_sms"
"odoo_community_module__decimal_precision","decimal_precision"
"odoo_community_module__delivery","delivery"
"odoo_community_module__delivery_hs_code","delivery_hs_code"
"odoo_community_module__digest","digest"
"odoo_community_module__document","document"
"odoo_community_module__edi","edi"
"odoo_community_module__email_template","email_template"
"odoo_community_module__event_crm","event_crm"
"odoo_community_module__event_crm_sale","event_crm_sale"
"odoo_community_module__event","event"
"odoo_community_module__event_sale","event_sale"
"odoo_community_module__event_sms","event_sms"
"odoo_community_module__fetchmail","fetchmail"
"odoo_community_module__fleet","fleet"
"odoo_community_module__gamification","gamification"
"odoo_community_module__gamification_sale_crm","gamification_sale_crm"
"odoo_community_module__google_account","google_account"
"odoo_community_module__google_calendar","google_calendar"
"odoo_community_module__google_drive","google_drive"
"odoo_community_module__google_recaptcha","google_recaptcha"
"odoo_community_module__google_spreadsheet","google_spreadsheet"
"odoo_community_module__hr_applicant_document","hr_applicant_document"
"odoo_community_module__hr_attendance","hr_attendance"
"odoo_community_module__hr_contract","hr_contract"
"odoo_community_module__hr_equipment","hr_equipment"
"odoo_community_module__hr_evaluation","hr_evaluation"
"odoo_community_module__hr_expense_check","hr_expense_check"
"odoo_community_module__hr_expense","hr_expense"
"odoo_community_module__hr_fleet","hr_fleet"
"odoo_community_module__hr_gamification","hr_gamification"
"odoo_community_module__hr_holidays_attendance","hr_holidays_attendance"
"odoo_community_module__hr_holidays_calendar","hr_holidays_calendar"
"odoo_community_module__hr_holidays","hr_holidays"
"odoo_community_module__hr","hr"
"odoo_community_module__hr_maintenance","hr_maintenance"
"odoo_community_module__hr_org_chart","hr_org_chart"
"odoo_community_module__hr_payroll_account","hr_payroll_account"
"odoo_community_module__hr_payroll","hr_payroll"
"odoo_community_module__hr_presence","hr_presence"
"odoo_community_module__hr_recruitment","hr_recruitment"
"odoo_community_module__hr_recruitment_survey","hr_recruitment_survey"
"odoo_community_module__hr_skills","hr_skills"
"odoo_community_module__hr_skills_slides","hr_skills_slides"
"odoo_community_module__hr_skills_survey","hr_skills_survey"
"odoo_community_module__hr_timesheet_attendance","hr_timesheet_attendance"
"odoo_community_module__hr_timesheet","hr_timesheet"
"odoo_community_module__hr_timesheet_invoice","hr_timesheet_invoice"
"odoo_community_module__hr_timesheet_sheet","hr_timesheet_sheet"
"odoo_community_module__hr_work_entry","hr_work_entry"
"odoo_community_module__http_routing","http_routing"
"odoo_community_module__hw_blackbox_be","hw_blackbox_be"
"odoo_community_module__hw_drivers","hw_drivers"
"odoo_community_module__hw_escpos","hw_escpos"
"odoo_community_module__hw_posbox_homepage","hw_posbox_homepage"
"odoo_community_module__hw_posbox_upgrade","hw_posbox_upgrade"
"odoo_community_module__hw_proxy","hw_proxy"
"odoo_community_module__hw_scale","hw_scale"
"odoo_community_module__hw_scanner","hw_scanner"
"odoo_community_module__hw_screen","hw_screen"
"odoo_community_module__iap_crm","iap_crm"
"odoo_community_module__iap","iap"
"odoo_community_module__iap_mail","iap_mail"
"odoo_community_module__im_chat","im_chat"
"odoo_community_module__im_livechat","im_livechat"
"odoo_community_module__im_livechat_mail_bot","im_livechat_mail_bot"
"odoo_community_module__im_odoo_support","im_odoo_support"
"odoo_community_module__im_support","im_support"
"odoo_community_module__knowledge","knowledge"
"odoo_community_module__l10n_ae","l10n_ae"
"odoo_community_module__l10n_ar","l10n_ar"
"odoo_community_module__l10n_ar_website_sale","l10n_ar_website_sale"
"odoo_community_module__l10n_at","l10n_at"
"odoo_community_module__l10n_au","l10n_au"
"odoo_community_module__l10n_be_coda","l10n_be_coda"
"odoo_community_module__l10n_be_edi","l10n_be_edi"
"odoo_community_module__l10n_be_hr_payroll_account","l10n_be_hr_payroll_account"
"odoo_community_module__l10n_be_hr_payroll_fleet","l10n_be_hr_payroll_fleet"
"odoo_community_module__l10n_be_hr_payroll","l10n_be_hr_payroll"
"odoo_community_module__l10n_be_intrastat_2019","l10n_be_intrastat_2019"
"odoo_community_module__l10n_be_intrastat","l10n_be_intrastat"
"odoo_community_module__l10n_be_invoice_bba","l10n_be_invoice_bba"
"odoo_community_module__l10n_be","l10n_be"
"odoo_community_module__l10n_bo","l10n_bo"
"odoo_community_module__l10n_br","l10n_br"
"odoo_community_module__l10n_ca","l10n_ca"
"odoo_community_module__l10n_ch","l10n_ch"
"odoo_community_module__l10n_ch_qriban","l10n_ch_qriban"
"odoo_community_module__l10n_cl","l10n_cl"
"odoo_community_module__l10n_cn_city","l10n_cn_city"
"odoo_community_module__l10n_cn","l10n_cn"
"odoo_community_module__l10n_cn_small_business","l10n_cn_small_business"
"odoo_community_module__l10n_cn_standard","l10n_cn_standard"
"odoo_community_module__l10n_co","l10n_co"
"odoo_community_module__l10n_co_pos","l10n_co_pos"
"odoo_community_module__l10n_cr","l10n_cr"
"odoo_community_module__l10n_cz","l10n_cz"
"odoo_community_module__l10n_de","l10n_de"
"odoo_community_module__l10n_de_purchase","l10n_de_purchase"
"odoo_community_module__l10n_de_repair","l10n_de_repair"
"odoo_community_module__l10n_de_sale","l10n_de_sale"
"odoo_community_module__l10n_de_skr03","l10n_de_skr03"
"odoo_community_module__l10n_de_skr04","l10n_de_skr04"
"odoo_community_module__l10n_de_stock","l10n_de_stock"
"odoo_community_module__l10n_dk","l10n_dk"
"odoo_community_module__l10n_do","l10n_do"
"odoo_community_module__l10n_dz","l10n_dz"
"odoo_community_module__l10n_ec","l10n_ec"
"odoo_community_module__l10n_es_edi_sii","l10n_es_edi_sii"
"odoo_community_module__l10n_es","l10n_es"
"odoo_community_module__l10n_et","l10n_et"
"odoo_community_module__l10n_eu_service","l10n_eu_service"
"odoo_community_module__l10n_fi","l10n_fi"
"odoo_community_module__l10n_fr_certification","l10n_fr_certification"
"odoo_community_module__l10n_fr_fec","l10n_fr_fec"
"odoo_community_module__l10n_fr_hr_payroll","l10n_fr_hr_payroll"
"odoo_community_module__l10n_fr","l10n_fr"
"odoo_community_module__l10n_fr_pos_cert","l10n_fr_pos_cert"
"odoo_community_module__l10n_fr_rib","l10n_fr_rib"
"odoo_community_module__l10n_fr_sale_closing","l10n_fr_sale_closing"
"odoo_community_module__l10n_generic_coa","l10n_generic_coa"
"odoo_community_module__l10n_gr","l10n_gr"
"odoo_community_module__l10n_gt","l10n_gt"
"odoo_community_module__l10n_hk","l10n_hk"
"odoo_community_module__l10n_hn","l10n_hn"
"odoo_community_module__l10n_hr","l10n_hr"
"odoo_community_module__l10n_hu","l10n_hu"
"odoo_community_module__l10n_id_efaktur","l10n_id_efaktur"
"odoo_community_module__l10n_id","l10n_id"
"odoo_community_module__l10n_ie","l10n_ie"
"odoo_community_module__l10n_il","l10n_il"
"odoo_community_module__l10n_in_hr_payroll","l10n_in_hr_payroll"
"odoo_community_module__l10n_in","l10n_in"
"odoo_community_module__l10n_in_pos","l10n_in_pos"
"odoo_community_module__l10n_in_purchase","l10n_in_purchase"
"odoo_community_module__l10n_in_purchase_stock","l10n_in_purchase_stock"
"odoo_community_module__l10n_in_sale","l10n_in_sale"
"odoo_community_module__l10n_in_sale_stock","l10n_in_sale_stock"
"odoo_community_module__l10n_in_schedule6","l10n_in_schedule6"
"odoo_community_module__l10n_in_stock","l10n_in_stock"
"odoo_community_module__l10n_it_edi","l10n_it_edi"
"odoo_community_module__l10n_it_edi_sdicoop","l10n_it_edi_sdicoop"
"odoo_community_module__l10n_it","l10n_it"
"odoo_community_module__l10n_it_stock_ddt","l10n_it_stock_ddt"
"odoo_community_module__l10n_jp","l10n_jp"
"odoo_community_module__l10n_latam_base","l10n_latam_base"
"odoo_community_module__l10n_latam_invoice_document","l10n_latam_invoice_document"
"odoo_community_module__l10n_lt","l10n_lt"
"odoo_community_module__l10n_lu","l10n_lu"
"odoo_community_module__l10n_ma","l10n_ma"
"odoo_community_module__l10n_mn","l10n_mn"
"odoo_community_module__l10n_multilang","l10n_multilang"
"odoo_community_module__l10n_mx","l10n_mx"
"odoo_community_module__l10n_nl","l10n_nl"
"odoo_community_module__l10n_no","l10n_no"
"odoo_community_module__l10n_nz","l10n_nz"
"odoo_community_module__l10n_pa","l10n_pa"
"odoo_community_module__l10n_pe","l10n_pe"
"odoo_community_module__l10n_pl","l10n_pl"
"odoo_community_module__l10n_pt","l10n_pt"
"odoo_community_module__l10n_ro","l10n_ro"
"odoo_community_module__l10n_sa","l10n_sa"
"odoo_community_module__l10n_se","l10n_se"
"odoo_community_module__l10n_se_ocr","l10n_se_ocr"
"odoo_community_module__l10n_sg","l10n_sg"
"odoo_community_module__l10n_si","l10n_si"
"odoo_community_module__l10n_sk","l10n_sk"
"odoo_community_module__l10n_syscohada","l10n_syscohada"
"odoo_community_module__l10n_th","l10n_th"
"odoo_community_module__l10n_tr","l10n_tr"
"odoo_community_module__l10n_ua","l10n_ua"
"odoo_community_module__l10n_uk","l10n_uk"
"odoo_community_module__l10n_us","l10n_us"
"odoo_community_module__l10n_uy","l10n_uy"
"odoo_community_module__l10n_ve","l10n_ve"
"odoo_community_module__l10n_vn","l10n_vn"
"odoo_community_module__l10n_za","l10n_za"
"odoo_community_module__link_tracker","link_tracker"
"odoo_community_module__lunch","lunch"
"odoo_community_module__mail_bot_hr","mail_bot_hr"
"odoo_community_module__mail_bot","mail_bot"
"odoo_community_module__mail_client_extension","mail_client_extension"
"odoo_community_module__mail","mail"
"odoo_community_module__mail_tip","mail_tip"
"odoo_community_module__maintenance","maintenance"
"odoo_community_module__marketing_campaign_crm_demo","marketing_campaign_crm_demo"
"odoo_community_module__marketing_campaign","marketing_campaign"
"odoo_community_module__marketing_crm","marketing_crm"
"odoo_community_module__marketing","marketing"
"odoo_community_module__mass_mailing_crm","mass_mailing_crm"
"odoo_community_module__mass_mailing_event","mass_mailing_event"
"odoo_community_module__mass_mailing_event_sms","mass_mailing_event_sms"
"odoo_community_module__mass_mailing_event_track","mass_mailing_event_track"
"odoo_community_module__mass_mailing_event_track_sms","mass_mailing_event_track_sms"
"odoo_community_module__mass_mailing","mass_mailing"
"odoo_community_module__mass_mailing_sale","mass_mailing_sale"
"odoo_community_module__mass_mailing_slides","mass_mailing_slides"
"odoo_community_module__mass_mailing_sms","mass_mailing_sms"
"odoo_community_module__membership","membership"
"odoo_community_module__microsoft_account","microsoft_account"
"odoo_community_module__microsoft_calendar","microsoft_calendar"
"odoo_community_module__mrp_account","mrp_account"
"odoo_community_module__mrp_bom_cost","mrp_bom_cost"
"odoo_community_module__mrp_byproduct","mrp_byproduct"
"odoo_community_module__mrp_landed_costs","mrp_landed_costs"
"odoo_community_module__mrp","mrp"
